Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,2,Graduate,Yes,3786,6033,102,180,1.0,Urban,Y
LP100001,Male,Yes,1,Graduate,Yes,10695,1628,329,360,1.0,Rural,Y
LP100002,Female,Yes,1,Not Graduate,No,6052,1273,160,300,1.0,Semiurban,Y
LP100003,Male,No,2,Not Graduate,Yes,13455,3763,324,180,0.0,Semiurban,N
LP100004,Male,No,2,Graduate,Yes,2250,5417,166,300,0.0,Urban,N
LP100005,Male,No,2,Not Graduate,No,4164,3032,231,240,1.0,Rural,Y
LP100006,Male,Yes,1,Graduate,No,7716,2211,335,240,1.0,Urban,Y
LP100007,Male,Yes,2,Not Graduate,No,2584,1728,340,300,1.0,Semiurban,Y
LP100008,Female,No,1,Not Graduate,Yes,5540,6102,337,300,1.0,Semiurban,Y
LP100009,Female,No,1,Graduate,No,2989,6191,74,180,1.0,Urban,Y
LP100010,Female,Yes,3+,Not Graduate,No,10169,2059,333,180,1.0,Urban,Y
LP100011,Female,No,0,Not Graduate,No,4091,3716,51,300,0.0,Urban,N
LP100012,Male,No,1,Graduate,No,13992,1323,326,180,1.0,Semiurban,Y
LP100013,Male,Yes,2,Not Graduate,Yes,2449,1973,340,180,1.0,Semiurban,Y
LP100014,Male,Yes,1,Not Graduate,Yes,5842,4322,266,240,0.0,Rural,N
LP100015,Male,No,3+,Not Graduate,No,9979,3698,111,240,1.0,Semiurban,Y
LP100016,Male,Yes,1,Graduate,Yes,13097,5169,80,240,1.0,Urban,Y
LP100017,Female,Yes,1,Not Graduate,No,5010,4417,117,360,1.0,Semiurban,Y
LP100018,Female,Yes,0,Graduate,No,7304,3469,260,360,0.0,Urban,N
LP100019,Male,Yes,3+,Not Graduate,Yes,5573,1569,147,360,1.0,Urban,Y
LP100020,Female,No,1,Graduate,No,14738,7056,331,180,1.0,Rural,Y
LP100021,Male,Yes,1,Graduate,No,9456,3943,159,360,0.0,Urban,N
LP100022,Female,Yes,3+,Not Graduate,No,6173,3465,334,360,1.0,Semiurban,Y
LP100023,Male,Yes,0,Not Graduate,Yes,2321,4785,294,240,1.0,Rural,Y
LP100024,Male,Yes,0,Graduate,Yes,8115,982,341,240,1.0,Urban,Y
LP100025,Male,No,2,Not Graduate,Yes,12472,5867,210,240,1.0,Urban,Y
LP100026,Female,No,2,Graduate,Yes,9008,5088,338,180,1.0,Urban,Y
LP100027,Female,Yes,2,Graduate,Yes,7554,2334,130,360,0.0,Rural,N
LP100028,Female,Yes,2,Graduate,Yes,5833,945,104,240,1.0,Rural,Y
LP100029,Male,No,1,Not Graduate,No,5614,7416,76,180,1.0,Semiurban,Y
LP100030,Male,Yes,2,Graduate,No,4147,6072,276,360,1.0,Urban,Y
LP100031,Male,Yes,0,Not Graduate,Yes,8541,1044,71,300,1.0,Urban,Y
LP100032,Female,Yes,1,Graduate,No,14281,4586,258,240,0.0,Urban,N
LP100033,Male,Yes,3+,Graduate,Yes,13567,7573,220,360,0.0,Rural,N
LP100034,Male,No,1,Graduate,No,2134,7033,290,240,1.0,Semiurban,Y
LP100035,Female,No,1,Graduate,Yes,12313,1582,254,300,1.0,Urban,Y
LP100036,Female,No,3+,Not Graduate,Yes,3389,7184,183,240,1.0,Semiurban,Y
LP100037,Male,Yes,3+,Not Graduate,No,8649,4966,311,180,1.0,Rural,Y
LP100038,Male,No,0,Not Graduate,Yes,10018,7582,325,240,1.0,Urban,Y
